--------------------------------------------------------------------------------
[08 Apr 2022, 12:18:03.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:18:03.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:18:22.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:18:22.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:26:10.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:26:10.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:33:06.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:33:06.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:35:45.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:35:45.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:36:20.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:36:20.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:38:09.3 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:38:09.3 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:45:15.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:45:15.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:45:35.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:45:35.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 12:52:45.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 12:52:45.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:02:21.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:02:21.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:05:40.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:05:40.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:06:03.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:06:03.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:12:38.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:12:38.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:12:50.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:12:50.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:14:52.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:14:52.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:33:35.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:33:35.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:34:56.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:34:56.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 1:51:35.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 1:51:35.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 2:05:10.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 2:05:10.4 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 2:12:22.4 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 2:12:22.5 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 2:16:17.5 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 2:16:17.5 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 2:22:22.5 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 2:22:22.5 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
[08 Apr 2022, 2:33:29.5 am:ERROR:logging_util.cc(105)] Network error (net::ERR_INTERNET_DISCONNECTED)
[08 Apr 2022, 2:33:29.5 am:ERROR:get_parameters.cc(53)] Unexpected HTTP status: -1
